Predictor,Outcome,"b (SE)","95% CI","β",p,n
"ICTHOME (home access)",PVMATH,"+2.15 (0.68)","[0.80, 3.49]",+0.031,.0021,18845
"ICTSCH (school access)",PVMATH,"+2.58 (0.67)","[1.25, 3.92]",+0.035,<.001,19051
"ICTSUBJ (subject-embedded use)",PVMATH,"−2.72 (0.96)","[−4.64, −0.80]",−0.032,.0059,18667
"ICTWKDY (weekday out-of-class use)",PVMATH,"−0.73 (0.78)","[−2.29, 0.82]",−0.010,".349 (n.s.)",18646
ICTHOME,PV-MPFS,"+3.15 (1.06)","[1.03, 5.26]",+0.036,.0040,18845
ICTSCH,PV-MPFS,"+3.28 (1.21)","[0.88, 5.69]",+0.036,.0081,19051
ICTSUBJ,PV-MPFS,"−1.00 (1.98)","[−4.94, 2.93]",−0.009,".613 (n.s.)",18667
ICTWKDY,PV-MPFS,"−2.59 (1.30)","[−5.18, −0.01]",−0.029,.0493,18646
ICTHOME,PV-MPRE,"+2.90 (1.17)","[0.56, 5.24]",+0.036,.0156,18845
ICTSCH,PV-MPRE,"+3.60 (1.19)","[1.23, 5.97]",+0.042,.0034,19051
ICTSUBJ,PV-MPRE,"−1.23 (2.07)","[−5.35, 2.88]",−0.012,".552 (n.s.)",18667
ICTWKDY,PV-MPRE,"+0.20 (1.18)","[−2.15, 2.55]",+0.002,".867 (n.s.)",18646
